label,node_name,node_category,node_topic,node_disease,node_patient
Decr. Access Key Services,Decreased Ability to Access Key Services,Human Impact,Tropical Cyclones,,All
Decr. Evacuation,Decreased Ability to Evacuate Before Hurricane Impact,Human Impact,Tropical Cyclones,,All
Decr. Preparation,Decreased Ability to Prepare for Hurricane Impact,Human Impact,Tropical Cyclones,,All
Decr. Unaffected Nearby Areas,Decreased Availability of Unaffected Areas Near Hurricane Disaster Areas,Human Impact,Tropical Cyclones,,All
Decr. Translocation Speed,Decreased Hurricane Translocation Speed,Earth System,Tropical Cyclones,,
Decr. Mobility,Decreased Population Mobility,Human Impact,Tropical Cyclones,,All
Incr. Toxic Mold,Increase in Toxic Mold Exposure,Human Impact,Tropical Cyclones,,All
Incr. Energy,Increased Availability of Energy to Hurricanes,Earth System,Tropical Cyclones,,
Incr. Moisture,Increased Availability of Moisture to Hurricanes,Earth System,Tropical Cyclones,,
Incr. Crop Damage,Increased Crop Damage,Human Impact,Tropical Cyclones,,All
Incr. Infrastructure Damage,Increased Damage to Infrastructure,Human Impact,Tropical Cyclones,,All
Incr. Delayed Mortality,Increased Delayed Mortality,Health Impact,Tropical Cyclones,Mortality,All
Incr. Sheltering,Increased Demand for Sheltering,Human Impact,Tropical Cyclones,,All
Incr. Drowning,Increased Drowning,Health Impact,Tropical Cyclones,Respiratory,"All,Women,Children,Geriatric"
Incr. Flash Flooding,Increased Flash Flood Risk,Earth System,Tropical Cyclones,,
Incr. Geographic Extent,Increased Geographic Extent of Hurricane Impact,Earth System,Tropical Cyclones,,
Incr. Home Abandonment,Increased Home Abandonment,Human Impact,Tropical Cyclones,,All
Incr. Energy Transfer,Increased Hurricane Energy Transfer to Affected Communities,Earth System,Tropical Cyclones,,
Incr. Max Wind Speeds,Increased Hurricane Maximum Wind Speeds,Earth System,Tropical Cyclones,,
Incr. Hurricane Rainfall,Increased Hurricane Rainfall in Affected Communities,Earth System,Tropical Cyclones,,
Incr. Hurricane Size,Increased Hurricane Size,Earth System,Tropical Cyclones,,
Incr. Immediate Mortality,Increased Immediate Mortality,Health Impact,Tropical Cyclones,Mortality,All
Incr. Landslide,Increased Landslide Risk,Earth System,Tropical Cyclones,,
Incr. Long-term Emigration,Increased Long-term Emigration from Affected Region,Human Impact,Tropical Cyclones,,All
Incr. Point Specific Duration,Increased Point-Specific Duration of Hurricane Conditions,Earth System,Tropical Cyclones,,
Incr. Asthma,Increased Risk of Asthma,Health Impact,Tropical Cyclones,Respiratory,"All,Children"
Incr. Infectious Diseases,Increased Risk of Infectious Diseases,Health Impact,Tropical Cyclones,Infectious Disease,All
Incr. Structural Damage,Increased Structural Damage,Human Impact,Tropical Cyclones,,All
Incr. Surface Flooding,Increased Surface Flooding,Earth System,Tropical Cyclones,,
Incr. Water Damage,Increased Water Damage to Homes,Human Impact,Tropical Cyclones,,All
Incr. Water Contamination,Increased Water Source Contamination,Human Impact,Tropical Cyclones,,All
Incr. Sea Surface Temp.,Increasing Sea Surface Temperature,Earth System,Tropical Cyclones,,
Rapid Intensification,More Pronounced Rapid Intensification,Earth System,Tropical Cyclones,,
Shorter Warning Window,Shorter Warning Window for Severe Hurricanes,Human Impact,Tropical Cyclones,,All
Decr. Atmospheric Circulation,Weakening Summertime Tropical Atmospheric Circulation,Earth System,Tropical Cyclones,,
